
Jogador,Equipa,Posição,Idade,Valor de mercado,Contrato termina,Partidas jogadas,Minutos jogados:,Golos,Golos esperados,Naturalidade,País de nacionalidade,Pé,Altura,Peso,Emprestado
Samir,Tigres UANL,LCB,28,7000000,2026-06-30,42,3582,0,2.58,Brazil,Brazil,esquerdo,185,93,sim
Vitão,Internacional,"RCB, LCB",23,7000000,2024-06-30,51,4714,0,2.7,Brazil,Brazil,direito,185,78,sim
Nino,Fluminense,"RCB, LCB",26,7000000,2024-12-31,53,5062,5,3.07,Brazil,Brazil,direito,188,79,sim
Léo Ortiz,Red Bull Bragantino,"LCB, RCB",27,6000000,2026-12-31,14,1183,1,0.54,Brazil,Brazil,direito,185,82,sim
Nathan Silva,Pumas UNAM,RCB,26,6000000,2025-12-31,36,3388,2,2.53,Brazil,Brazil,direito,182,84,sim
Natan,Napoli,LCB,22,5500000,2025-12-31,40,3717,0,2.83,Brazil,Brazil,esquerdo,188,81,sim
Luan Peres,Fenerbahçe,"LB, LCB",29,5000000,2025-06-30,13,1053,1,0.6,Brazil,Brazil,esquerdo,190,79,sim
Kaiky,Almería,"RCB, LCB",19,5000000,2028-06-30,14,854,1,0.22,Brazil,Brazil,direito,181,76,sim
Dória,Santos Laguna,LCB,28,4500000,2025-06-30,31,2643,2,3.66,Brazil,"Brazil, Mexico",esquerdo,189,84,sim
Ruan Tressoldi,Sassuolo,"LCB, RCB",24,4500000,2026-06-30,30,2390,0,0.92,Brazil,Brazil,direito,187,78,sim
Vitor Hugo,Bahia,LCB,32,4500000,2026-12-31,38,3373,3,2.7,Brazil,Brazil,esquerdo,187,80,sim
Alex Sandro,Juventus,"LCB, LB",32,4500000,2024-06-30,28,2336,0,1.01,Brazil,Brazil,esquerdo,180,80,sim
Diego Costa,São Paulo,"RCB, LCB",24,4000000,2024-12-31,28,2328,0,1.13,Brazil,Brazil,direito,184,73,sim
Juan Jesus,Napoli,LCB,32,4000000,2025-06-30,19,1400,1,1.09,Brazil,Brazil,esquerdo,185,83,sim
Lyanco,Al Gharafa,"RCB, LCB",26,4000000,2025-06-30,28,2291,1,0.93,Brazil,"Brazil, Serbia",direito,187,83,sim
Léo Pereira,Flamengo,LCB,27,4000000,2027-12-31,46,3868,4,2.79,Brazil,Brazil,esquerdo,189,79,sim
Andrei Girotto,Al Taawon,"RCB, LCB, DMF",31,4000000,2024-06-30,43,4186,2,2.83,Brazil,"Brazil, Italy",direito,186,79,sim
Vitor Tormena,Krasnodar,RCB,27,4000000,2024-06-30,35,3109,0,0.58,Brazil,Brazil,direito,192,84,sim
Rodrigão,Zenit,"RCB, CB",28,4000000,2025-06-30,14,1148,0,0.19,Brazil,Brazil,direito,191,97,sim
Fabricio Bruno,Flamengo,RCB,27,3500000,2025-12-31,58,5600,3,3.42,Brazil,Brazil,direito,192,90,sim
Willyan Rocha,CSKA Moskva,"CB, RCB",28,3500000,2025-06-30,38,3521,2,3.36,Brazil,"Brazil, Italy",direito,191,90,sim
Raul Gustavo,Bahia,LCB,24,3500000,2024-12-31,19,1451,0,1.07,Brazil,Brazil,esquerdo,189,87,sim
Kanu,Bahia,"RCB, LCB",26,3500000,2023-12-31,44,4185,1,1.95,Brazil,Brazil,direito,186,80,sim
Léo,Vasco da Gama,LCB,27,3500000,2025-12-31,44,4467,1,1.44,Brazil,Brazil,esquerdo,183,76,sim
Thiago Martins,New York City,RCB,28,3500000,2025-12-31,29,2708,0,0.98,Brazil,Brazil,direito,185,78,sim
André Ramalho,PSV,RCB,31,3500000,2024-06-30,45,3605,1,4.43,Brazil,"Brazil, Italy",direito,182,78,sim
Léo Duarte,İstanbul Başakşehir,"RCB, LCB",27,3200000,2026-06-30,38,3703,0,1.09,Brazil,Brazil,direito,183,76,sim
Felipe,Nottingham Forest,"CB, LCB, RCB",34,3000000,2024-06-30,19,1746,0,2.01,Brazil,Brazil,direito,190,83,sim
Zé Ivaldo,Athletico Paranaense,"RCB, LCB",26,3000000,2023-12-31,36,3141,2,2.4,Brazil,Brazil,direito,185,78,sim
Moisés,CSKA Moskva,"LCB, CB",28,3000000,2024-12-31,37,3401,2,2.71,Brazil,Brazil,esquerdo,184,89,sim
Pablo,Flamengo,"LCB, RCB",32,3000000,2025-12-31,17,1350,0,0.75,Brazil,Brazil,direito,188,85,sim
Lucas Halter,Goiás,RCB,23,3000000,2024-07-31,49,4705,6,2.61,Brazil,Brazil,direito,188,93,sim
Fernando,Sevilla,"RDMF, CB, LCMF",36,3000000,2024-06-30,37,2793,0,0.47,Brazil,"Brazil, Portugal",direito,183,76,sim
Pedro Henrique,Athletico Paranaense,RCB,28,3000000,2024-12-31,29,2758,1,1.65,Brazil,Brazil,direito,188,82,sim
Rodrigo Ely,Grêmio,"RCB, CB",29,3000000,2024-06-30,32,2896,0,0.9,Brazil,"Brazil, Italy",direito,191,91,sim
Igor Rabello,Atlético Mineiro,RCB,28,3000000,2025-12-31,8,586,0,0.0,Brazil,Brazil,direito,190,90,sim
Gabriel Paulista,Valencia,"LCB, RCB",32,3000000,2024-06-30,22,1973,0,0.16,Brazil,"Brazil, Spain",direito,187,72,sim
Adryelson,Botafogo,RCB,25,3000000,2025-12-31,55,5211,4,4.32,Brazil,Brazil,direito,182,74,sim
Gláuber,Al Nasr,LCB,23,3000000,2025-06-30,31,3083,0,1.67,Brazil,Brazil,esquerdo,0,0,sim
Lucas Fasson,Lokomotiv Moskva,LCB,22,2500000,2026-06-30,16,1483,0,0.73,Brazil,"Brazil, Italy",esquerdo,187,78,sim
Beraldo,São Paulo,LCB,19,2500000,2026-06-30,41,3949,1,1.65,Brazil,Brazil,direito,182,77,sim
Iago Maidana,América Mineiro,"LCB, CB, RCB",27,2500000,2023-12-31,47,4145,0,2.53,Brazil,Brazil,direito,195,91,sim
Alexsandro Ribeiro,Lille,LCB,24,2500000,2026-06-30,30,2659,2,2.22,Brazil,Brazil,direito,189,82,sim
Robson,Vasco da Gama,"RCB, RB",25,2500000,2025-06-30,19,1605,0,0.24,Brazil,Brazil,direito,185,74,sim
Lucas Cunha,Red Bull Bragantino,RCB,26,2500000,2026-12-31,21,1823,2,0.92,Brazil,"Brazil, Portugal",direito,186,77,sim
Luan,Palmeiras,"RCB, LCB",30,2500000,2024-12-31,38,3464,1,2.15,Brazil,Brazil,direito,189,79,sim
Marcelo Benevenuto,Fortaleza,"RCB, CB",27,2500000,2026-12-31,36,3111,1,1.21,Brazil,Brazil,direito,180,73,sim
Thiago Silva,Chelsea,"LCB, RCB, CB",39,2500000,2024-06-30,35,3322,0,2.09,Brazil,"Brazil, France",direito,181,79,sim
Bernardo,Bochum,"LB, LCB",28,2500000,2024-06-30,23,2158,0,2.55,Brazil,Brazil,esquerdo,186,76,sim
Gustavo Henrique,Real Valladolid,"LCB, RCB, CB",30,2400000,2023-12-31,15,1141,2,1.35,Brazil,Brazil,direito,194,86,sim
Gabriel Noga,Flamengo,RCB,21,2000000,2024-12-31,2,104,0,0.0,Brazil,Brazil,direito,183,72,sim
Lucas Ribeiro,Ceará,"LCB, RCB",24,2000000,2024-06-30,5,431,0,0.0,Brazil,Brazil,direito,190,80,sim
Rodrigo Caio,Flamengo,"CB, RCB",30,2000000,2023-12-31,9,685,0,0.33,Brazil,"Brazil, Italy",direito,183,74,sim
Henri,North Texas,"LCB, RCB",21,2000000,2025-12-31,38,3561,3,1.46,Brazil,Brazil,direito,187,73,sim
Antônio Carlos,Orlando City,RCB,30,2000000,2023-12-31,22,1886,1,1.59,Brazil,Brazil,direito,190,79,sim
Lucas Oliveira,Cruzeiro,RCB,27,2000000,2025-12-31,30,2929,2,0.69,Brazil,Brazil,direito,187,83,sim
Jubal,Auxerre,"RCB, CB",30,2000000,2025-06-30,37,3397,4,4.31,Brazil,Brazil,direito,190,77,sim
Rodrigo Guth,Fortuna Sittard,"RCB, LCB",22,2000000,2027-06-30,32,3115,0,1.41,Brazil,"Brazil, Germany",direito,191,79,sim
Jemerson,Atlético Mineiro,LCB,31,2000000,2024-12-31,50,4619,0,1.76,Brazil,"Brazil, Monaco",direito,184,77,sim
Kaio,Krasnodar,RCB,28,2000000,2024-06-30,24,2206,2,1.59,Brazil,Brazil,direito,186,80,sim
Riccieli,Famalicão,RCB,25,2000000,2027-06-30,39,3751,1,1.69,Brazil,Brazil,direito,184,80,sim
Bruno Fuchs,Atlético Mineiro,"RCB, RB",24,1800000,2025-06-30,26,2166,0,0.5,Brazil,Brazil,direito,190,85,sim
Bruno Viana,Al Hazem,"LCB, RCB",28,1800000,2025-12-31,39,3647,1,0.91,Brazil,Brazil,direito,186,85,sim
Arthur Chaves,Academico Viseu,"LCB, RCB",22,1750000,2027-06-30,31,2972,0,2.24,Brazil,Brazil,direito,188,81,sim
Matheus Thuler,Vissel Kobe,"LCB, RCB",24,1600000,2025-01-31,26,1693,1,1.61,Brazil,Brazil,direito,186,83,sim
Wesley Gasolina,Cruzeiro,"RB, RAMF, RCB",23,1500000,2024-12-31,5,332,0,0.03,Brazil,Brazil,direito,177,66,sim
Éder,América Mineiro,"LCB, RCB",28,1500000,2024-12-31,43,3552,2,1.08,Brazil,Brazil,direito,184,82,sim
Rodrigues,SJ Earthquakes,"LCB, RCB",26,1500000,2024-12-31,38,3694,1,3.67,Brazil,Brazil,direito,188,78,sim
Pedrão,Portimonense,"RCB, CB",26,1500000,2027-06-30,33,3117,2,2.04,Brazil,Brazil,direito,194,87,sim
Busanello,Malmö FF,"LB, LCB",25,1500000,2027-12-31,33,2940,1,2.06,Brazil,Brazil,esquerdo,180,75,sim
Yuri Matias,Neftchi,RCB,28,1500000,2024-06-30,41,3960,5,4.02,Brazil,Brazil,direito,186,76,sim
V. Cuesta,Botafogo,LCB,34,1500000,2024-12-31,58,5677,4,2.98,Argentina,"Argentina, Brazil",esquerdo,187,84,sim
Iago Santos,Al Shabab,"RCB, LCB",31,1200000,2024-06-30,34,3540,2,2.61,Brazil,Brazil,direito,188,85,sim
Roderick Miranda,Melbourne Victory,LCB,32,1200000,2025-06-30,19,1750,0,1.04,Portugal,"Portugal, Brazil",direito,191,85,sim
Wallace,Al Ittihad Kalba,"LCB, RCB",29,1200000,2023-12-31,21,1727,1,0.95,Brazil,Brazil,direito,191,83,sim
Léo Santos,Ceará,"RCB, LCB, DMF",24,1200000,2023-12-31,27,2129,2,2.36,Brazil,Brazil,direito,186,80,sim
Matheus Felipe,Athletico Paranaense,"LCB, RCB",24,1200000,2026-12-31,17,1220,0,0.23,Brazil,Brazil,direito,186,84,sim
Ignácio,Sporting Cristal,"LCB, RCB, CB",26,1200000,2025-12-31,44,4371,5,5.16,Brazil,Brazil,direito,190,92,sim
Victor Luís,Coritiba,"LB, LCB",30,1200000,2024-12-31,38,2915,3,1.62,Brazil,"Brazil, Lithuania",esquerdo,177,81,sim
Walce,São Paulo,"LCB, RB",24,1000000,2023-12-31,8,348,1,0.35,Brazil,Brazil,direito,188,79,sim
Kaique Rocha,Athletico Paranaense,CB,22,1000000,2026-12-31,8,554,1,0.36,Brazil,Brazil,direito,195,87,sim
Reynaldo,Coritiba,"LCB, CB",26,1000000,2025-11-30,17,1396,0,0.16,Brazil,Brazil,esquerdo,186,81,sim
Gil,Corinthians,"RCB, LCB",36,1000000,2023-12-31,58,5647,4,5.02,Brazil,Brazil,direito,192,87,sim
David Duarte,Bahia,"CB, RCB, LCB",28,1000000,2025-12-31,19,1668,1,0.84,Brazil,Brazil,direito,193,89,sim
Léo Coelho,Peñarol,"LCB, RCB",30,1000000,2025-12-31,26,2274,0,0.31,Brazil,Brazil,direito,189,88,sim
Jesiel,Kawasaki Frontale,RCB,29,1000000,2024-01-31,5,351,0,0.08,Brazil,Brazil,direito,186,84,sim
Juninho,Midtjylland,"LCB, CB",28,1000000,2026-06-30,36,2985,2,3.6,Brazil,Brazil,esquerdo,187,80,sim
Pepe,Porto,"RCB, LCB",40,1000000,2024-06-30,38,3466,1,1.28,Brazil,"Brazil, Portugal",direito,187,79,sim
Wagner Leonardo,Vitória,LCB,24,900000,2025-06-30,33,3333,5,3.61,Brazil,Brazil,esquerdo,186,76,sim
Raúl Silva,Universitatea Craiova,LCB,33,900000,2024-06-30,31,2472,0,2.3,Brazil,Brazil,esquerdo,187,80,sim
Eduardo Santos,Red Bull Bragantino,"LCB, RCB",25,900000,2026-06-30,25,2283,1,1.19,Brazil,Brazil,direito,196,90,sim
Fabiano,Aris,RCB,31,900000,2024-06-30,39,3719,7,6.6,Brazil,Brazil,direito,188,82,sim
Sabino,Sport Recife,LCB,27,900000,2024-04-06,59,5809,7,5.55,Brazil,Brazil,esquerdo,185,87,sim
Luiz Otávio,Mirassol,LCB,31,900000,2023-11-30,44,4313,0,3.56,Brazil,Brazil,direito,194,85,sim
Ricardo Graça,Júbilo Iwata,LCB,26,900000,2024-01-31,37,3497,2,1.82,Brazil,"Brazil, Portugal",esquerdo,182,70,sim
Alan Empereur,Cuiabá,LCB,29,900000,2024-12-31,34,3362,3,2.04,Brazil,"Brazil, Italy",esquerdo,186,82,sim
Gabriel,Yokohama,LCB,28,800000,2024-01-31,2,147,0,0.04,Brazil,Brazil,direito,181,78,sim
Lucas Possignolo,Zhejiang Professional,LCB,29,800000,2023-12-31,39,3175,2,2.2,Brazil,Brazil,direito,188,81,sim
Luiz Felipe,Atlético GO,"RCB, LCB",30,800000,2024-12-31,18,1672,1,1.48,Brazil,Brazil,direito,187,79,sim
Cacá,Athletico Paranaense,"RCB, LCB",24,800000,2025-01-31,24,2317,2,1.85,Brazil,Brazil,direito,187,77,sim
Dodô,Santos,"LB, LCB",31,800000,2023-12-31,34,2888,0,0.77,Brazil,"Brazil, Portugal",esquerdo,177,80,sim
Messias,Santos,"RCB, LCB",28,800000,2025-12-31,35,3359,1,1.55,Brazil,Brazil,direito,190,87,sim
João Basso,Santos,RCB,26,800000,2024-06-30,42,3945,1,3.15,Brazil,"Brazil, Italy",direito,187,74,sim
Tiago Cóser,Benfica U23,"RCB, LCB",19,800000,2026-06-30,17,1147,2,0.53,Brazil,"Brazil, Italy",direito,187,81,sim
Ramon Menezes,CRB,LCB,28,800000,2024-12-31,32,2854,0,0.53,Brazil,Brazil,direito,186,81,sim
Marcelo,Western Sydney Wanderers,"LCB, RCB",36,800000,2024-06-30,25,2164,2,2.24,Brazil,Brazil,direito,191,85,sim
Lucas Freitas,Chapecoense,LCB,22,800000,2025-12-31,26,2409,0,1.04,Brazil,"Brazil, Portugal",esquerdo,184,76,sim
Eduardo,Yokohama F. Marinos,LCB,30,800000,2025-01-31,33,2891,0,0.92,Brazil,Brazil,esquerdo,184,84,sim
Thiago Heleno,Athletico Paranaense,"LCB, CB",35,800000,2024-12-31,51,4988,0,1.66,Brazil,Brazil,direito,185,84,sim
Jadson,Shandong Taishan,RCB,31,800000,2024-12-31,34,2771,4,4.3,Brazil,Brazil,direito,189,81,sim
Anderson,Vizela,"LCB, RCB, CB",28,800000,2024-06-30,32,3027,1,1.91,Brazil,Brazil,direito,186,77,sim
Gabriel Lacerda,Sydney,"LCB, RCB",24,800000,2024-12-31,27,2274,0,0.74,Brazil,Brazil,direito,187,74,sim
Rezende,Bahia,"LDMF, LCB, LCMF",28,750000,2023-12-31,47,4086,3,1.89,Brazil,Brazil,esquerdo,186,84,sim
Bernardo Schappo,Fortaleza,LCB,24,750000,2026-12-31,14,1279,0,0.42,Brazil,"Brazil, Luxembourg",esquerdo,191,85,sim
Bressan,Nantong Zhiyun,"LCB, RCB, CB",30,750000,2024-12-31,29,2735,0,0.55,Brazil,"Brazil, Italy",direito,185,79,sim
Pablo Santos,Al Raed,LCB,31,700000,2024-06-30,10,921,1,0.93,Brazil,Brazil,esquerdo,188,77,sim
Danilo Boza,Juventude,"RCB, LCB",25,700000,2025-12-31,47,4784,2,4.11,Brazil,Brazil,direito,184,76,sim
Luan Patrick,Red Bull Bragantino,"RCB, LCB",21,700000,2024-12-31,26,2055,0,0.7,Brazil,Brazil,direito,190,80,sim
Neris,Cruzeiro,RCB,31,700000,2024-12-31,21,1844,0,0.78,Brazil,Brazil,direito,190,88,sim
Patrick William,Rio Ave,"LCB, RCB",26,700000,2025-06-30,30,2264,2,1.41,Brazil,Brazil,direito,185,78,sim
Héliton,CSKA 1948 Sofia,LCB,27,700000,2024-06-30,34,3349,4,4.52,Brazil,Brazil,esquerdo,195,89,sim
Dante,Nice,LCB,40,700000,2024-06-30,40,3845,1,2.84,Brazil,Brazil,esquerdo,188,89,sim
Joaquim,Santos,"RCB, LCB",24,700000,2026-12-31,36,3480,1,2.92,Brazil,Brazil,direito,190,82,sim
Michel,Palmeiras U20,"LCB, RCB",20,700000,2026-12-31,21,1607,1,0.6,Brazil,Brazil,direito,188,75,sim
Paulo,Grêmio Novorizontino,"LCB, RCB",21,700000,2026-06-30,9,456,0,0.05,Brazil,Brazil,esquerdo,188,84,sim
César Martins,Grêmio Novorizontino,"CB, LCB",30,675000,2025-12-10,27,2467,5,5.69,Brazil,Brazil,direito,191,88,sim
Diego,Kashiwa Reysol,"LB, LCB",28,650000,2025-01-31,13,1108,1,1.0,Brazil,Brazil,esquerdo,183,77,sim
Douglas Grolli,Avispa Fukuoka,"RCB, LCB",34,650000,2024-01-31,34,3143,2,2.79,Brazil,"Brazil, Italy",direito,189,84,sim
Alex Nascimento,Santos,LCB,24,600000,2024-12-31,8,705,0,0.24,Brazil,Brazil,esquerdo,189,86,sim
F. Alves,Brøndby,"CB, RCB",23,600000,2026-06-30,22,1911,0,1.43,Denmark,"Denmark, Brazil",direito,195,78,sim
Léo Andrade,Gardner-Webb Bulldogs,"LCB, CB",25,600000,2025-06-30,27,2717,2,2.07,Brazil,Brazil,esquerdo,190,82,sim
Luccas Claro,Eyüpspor,LCB,32,600000,2024-06-30,31,3018,1,1.84,Brazil,Brazil,direito,182,83,sim
Philipe Sampaio,Botafogo,"RCB, LCB",28,600000,2024-12-31,21,1370,1,1.27,Brazil,Brazil,direito,191,89,sim
Lucas Galvão,Austria Wien,"CB, LCB",32,600000,2025-06-30,17,1587,0,0.79,Brazil,Brazil,esquerdo,182,78,sim
Bruno Melo,Goiás,LCB,31,600000,2023-12-31,50,4952,6,4.5,Brazil,Brazil,esquerdo,186,78,sim
Anderson,Austria Lustenau,"RWB, RCB, RAMF",25,600000,2024-06-30,32,2528,1,3.31,Brazil,Brazil,direito,184,74,sim
Rafael Pereira,Khorfakkan,"RCB, LCB",23,600000,2025-06-30,30,2262,0,1.35,Brazil,Brazil,esquerdo,189,80,sim
David Luiz,Flamengo,"LCB, RCB, CB",36,600000,2023-12-31,40,3655,1,1.72,Brazil,"Brazil, Portugal",direito,189,84,sim
Rubén Alves,Racing Santander,LCB,29,600000,2024-06-30,33,3041,0,1.28,Spain,"Spain, Brazil",esquerdo,184,74,sim
Miranda,Vasco da Gama,"RCB, RB",23,600000,2023-12-31,19,1359,1,2.07,Brazil,Brazil,direito,181,73,sim
João Marcelo,Cruzeiro,RCB,23,550000,2027-06-30,19,1795,6,2.32,Brazil,Brazil,direito,190,84,sim
Da Silva,Red Bull Bragantino,"RCB, LCB, CB",22,500000,2024-12-31,7,538,0,0.28,Brazil,Brazil,direito,192,82,sim
Rodrigo Moledo,Internacional,"RCB, LCB",36,500000,2023-12-31,27,2055,1,1.75,Brazil,Brazil,direito,188,84,sim
Gabriel Pereira,Gil Vicente,"RCB, LCB",23,500000,2026-06-30,25,2266,1,1.34,Brazil,Brazil,direito,188,86,sim
Bruno Uvini,Grêmio,"RCB, LCB",32,500000,2023-12-31,29,2476,2,2.6,Brazil,"Brazil, Italy",direito,188,85,sim
Camutanga,Vitória,"RCB, LCB, CB",30,500000,2023-11-30,46,4272,3,2.38,Brazil,Brazil,direito,189,80,sim
Matheus Costa,Marítimo,"RCB, LCB",28,500000,2026-06-30,24,1840,2,3.42,Brazil,"Brazil, Portugal",direito,188,82,sim
Mansur,Estrela Amadora,LCB,30,500000,2025-06-30,24,2239,1,1.3,Brazil,Brazil,esquerdo,181,74,sim
Emerson Santos,Atlético GO,"LCB, RCB, RB",28,500000,2025-01-01,26,1626,0,0.54,Brazil,Brazil,direito,184,75,sim
Márcio Silva,Botafogo SP,LCB,22,500000,2025-08-31,35,3243,0,1.86,Brazil,Brazil,esquerdo,192,85,sim
Roberto,Avaí,"RCB, LCB",25,500000,2023-11-30,30,2598,0,1.04,Brazil,Brazil,direito,188,88,sim
Edu,Goiás,"RCB, LCB",23,500000,2024-06-30,20,1183,0,0.59,Brazil,Brazil,direito,185,88,sim
Matheus Pereira,Oita Trinita,RCB,26,500000,2025-01-31,30,2689,2,2.16,Brazil,Brazil,direito,184,83,sim
Maicon,Vasco da Gama,"RCB, LCB",35,500000,2023-12-31,25,2093,0,1.22,Brazil,"Brazil, Portugal",direito,191,80,sim
Rafael Thyere,Sport Recife,RCB,30,500000,2024-12-31,54,5416,5,3.89,Brazil,Brazil,direito,189,86,sim
Paulo Ricardo,Al Hazem,RCB,29,500000,2023-12-31,23,2288,0,0.8,Brazil,Brazil,direito,186,80,sim
Marllon,Cuiabá,RCB,31,500000,2023-12-31,37,3797,2,2.81,Brazil,Brazil,direito,186,75,sim
Artur,Ponte Preta,"LB, LCB",29,500000,2023-11-30,48,4765,0,1.93,Brazil,Brazil,esquerdo,178,75,sim
Vitor Mendes,Fluminense,"RCB, LCB",24,450000,2024-12-31,13,798,1,0.7,Brazil,Brazil,direito,186,75,sim
Léo Borges,Pogoń Szczecin,"LB, LCB",22,450000,2025-06-30,19,754,0,0.16,Brazil,Brazil,esquerdo,179,73,sim
Marcelo Alves,Sochi,"CB, LCB, RCB",25,450000,2024-06-30,38,2987,3,1.34,Brazil,Brazil,direito,192,88,sim
Clayton,AVS ,"RCB, LCB, RB",23,450000,2024-06-30,40,3725,3,2.61,Brazil,Brazil,direito,187,81,sim
Pedro Barcelos,Mafra,LCB,27,425000,2024-06-05,29,2315,0,0.22,Brazil,Brazil,esquerdo,188,80,sim
Valdo,V-Varen Nagasaki,RCB,31,400000,2025-01-31,13,1231,0,0.99,Brazil,Brazil,direito,183,77,sim
Lucas Mezenga,Tondela,"RCB, LCB",21,400000,2024-12-31,3,216,0,0.04,Brazil,Brazil,direito,185,78,sim
Maurício Antônio,Coritiba,"LCB, CB",31,400000,2024-06-30,19,1852,0,0.29,Brazil,"Brazil, Portugal",direito,183,82,sim
Tiago Pagnussat,Ceará,RCB,33,400000,2024-12-31,39,3806,2,2.7,Brazil,"Brazil, Italy",direito,191,88,sim
Luiz Otávio,Ceará,"LCB, RCB",35,400000,2023-12-31,29,2790,3,1.24,Brazil,Brazil,direito,190,84,sim
R. Hillen,De Graafschap,LCB,20,400000,2024-06-30,37,3444,2,3.56,Netherlands,"Netherlands, Brazil",esquerdo,187,74,sim
Chico,Sport Recife,LCB,25,400000,2024-12-31,19,1408,0,0.52,Brazil,Brazil,esquerdo,188,80,sim
Lucão,Guarani,"LCB, RCB",27,400000,2023-11-30,48,4786,0,1.37,Brazil,Brazil,direito,187,80,sim
Heron,Atlético GO,"LCB, LB",23,400000,2024-12-31,35,2939,0,0.84,Brazil,Brazil,esquerdo,186,78,sim
Thiago Santos,Fluminense,"LDMF, RCB, CB",34,400000,2024-12-31,25,1004,0,0.55,Brazil,Brazil,direito,181,78,sim
Rodrigo Freitas,Chapecoense,"LCB, RCB",25,400000,2023-11-30,32,3168,2,1.0,Brazil,Brazil,direito,189,82,sim
Manoel,Fluminense,"RCB, LCB",33,400000,2024-12-31,19,1441,0,0.57,Brazil,Brazil,direito,181,82,sim
Renan,Shabab Al Ahli Dubai,"LCB, LB",21,400000,2025-12-31,19,1795,3,1.9,Brazil,Brazil,esquerdo,184,69,sim
Rafael Santos,Moreirense,LCB,25,375000,2025-06-30,14,1203,1,0.38,Brazil,Brazil,esquerdo,190,85,sim
Wellington,Avaí,"RCB, DMF, LCB",28,350000,2023-12-31,12,1119,0,0.13,Brazil,Brazil,direito,187,90,sim
Mendes,JEF United,LCB,28,350000,2024-01-31,5,317,1,0.2,Brazil,Brazil,esquerdo,190,83,sim
Victor,BG Pathum United FC,CB,33,350000,2024-05-31,29,2843,10,7.04,Brazil,Brazil,direito,0,0,sim
Eduardo Thuram,Aparecidense,LCB,26,350000,2023-12-31,10,618,0,0.41,Brazil,Brazil,esquerdo,189,84,sim
Henrique Trevisan,Tokyo,"LCB, CB",26,350000,2024-01-31,28,2564,2,3.7,Brazil,"Brazil, Italy",esquerdo,185,78,sim
Filipe Luis,Flamengo,"LB, LCB",38,350000,2023-12-31,17,1047,0,0.07,Brazil,"Brazil, Poland",esquerdo,182,74,sim
Romércio,Juventude,"RCB, CB, LCB",26,350000,2023-12-31,28,2232,1,0.93,Brazil,Brazil,direito,185,78,sim
Cláudio Falcão,Farense,"DMF, RCMF, RCB",29,350000,2024-06-30,32,2664,5,2.59,Brazil,"Brazil, Portugal",direito,187,79,sim
Mateus Brunetti,DAC,LCB,23,350000,2025-06-30,24,1829,1,1.24,Brazil,"Brazil, Italy",esquerdo,182,77,sim
Derlan,Oita Trinita,LCB,27,350000,2025-01-31,31,2518,0,2.61,Brazil,Brazil,esquerdo,187,80,sim
Jordan,Zorya,"RCB, LCB",24,350000,2024-12-31,32,2950,1,2.38,Brazil,Brazil,direito,190,81,sim
Raphael,Radomiak Radom,"RCB, CB",33,350000,2024-06-30,27,2398,1,2.12,Brazil,"Brazil, Italy",direito,190,84,sim
Thiago Oliveira,Ponte Preta,"LCB, RCB",21,350000,2025-12-31,11,1034,1,0.83,Brazil,Brazil,direito,183,77,sim
L. Monzón,Danubio,LCB,22,325000,2023-12-31,21,1883,0,0.18,Brazil,"Brazil, Uruguay",esquerdo,184,78,sim
Cleberson,Madura United,"LCB, RCB",31,325000,2024-01-20,36,3406,0,3.2,Brazil,Brazil,direito,185,75,sim
Alan Costa,Avaí,"RCB, LCB",33,325000,2023-12-31,32,2601,1,1.71,Brazil,Brazil,direito,194,82,sim
Cléber Reis,USAC,"RCB, CB",32,300000,2024-01-07,19,1745,1,1.08,Brazil,Brazil,direito,187,94,sim
Renato Augusto,Shimizu S-Pulse,"RDMF, RCB, RCMF",31,300000,2024-01-31,3,164,0,0.15,Brazil,Brazil,direito,185,81,sim
Ricardo Silva,América Mineiro,"RCB, LCB",31,300000,2023-12-31,32,2908,1,1.4,Brazil,Brazil,direito,190,84,sim
Edimar,CRB,"LB, LCB",37,300000,2023-12-31,18,1165,0,0.24,Brazil,Brazil,esquerdo,183,74,sim
L. Felipe,West Florida Argos,"RCB, LCB",22,300000,2024-11-30,7,382,1,0.72,Brazil,Brazil,direito,186,79,sim
Lucas Gazal,Atlético GO,RCB,24,300000,2024-06-30,39,3718,1,1.99,Brazil,Brazil,direito,187,86,sim
Wanderson,América Mineiro,"RCB, LCB, CB",32,300000,2024-12-31,17,1401,0,0.35,Brazil,Brazil,direito,186,83,sim
Ítalo,Ural,LCB,21,300000,2026-06-30,25,2167,0,1.17,Brazil,Brazil,esquerdo,191,78,sim
Geromel,Grêmio,"RCB, CB",38,300000,2023-12-31,6,475,0,0.0,Brazil,"Brazil, Italy",direito,190,84,sim
Zé Marcos,Juventude,LCB,25,300000,2023-12-31,27,2469,0,2.43,Brazil,Brazil,esquerdo,188,77,sim
Danilo Avelar,América Mineiro,"LB, LCB",34,300000,2023-12-31,40,2843,4,5.12,Brazil,"Brazil, Italy",esquerdo,184,79,sim
Thalisson,Coritiba,RCB,21,300000,2025-12-31,3,315,0,0.0,Brazil,Brazil,direito,190,79,sim
Sidimar,Goiás,"LCB, RCB",31,300000,2024-12-31,34,2566,0,0.83,Brazil,Brazil,direito,186,88,sim
Gabriel Mentz,Gzira United,LCB,25,300000,2026-06-30,21,1899,3,2.82,Brazil,Brazil,direito,185,0,sim
